"gene","variance","mean_expr"
"SERPINC1",12.8719859957423,4.62003437762734
"TMEM161BP1",12.8663180147209,5.37473604861942
"DSC3",12.8334915906422,7.7627597756121
"CA9",12.8089879207926,5.66407364262704
"SYT4",12.7730123378295,3.66904127059659
"VSTM2A",12.7725663176832,3.76435348091099
"FDCSP",12.730220858518,3.55451319427948
"PAPPA-AS1",12.7243741025736,3.06562023696447
"AC006449.2",12.7219273153355,5.31289027398143
"AC009133.22",12.7085133498558,3.36231089412144
"SLC5A8",12.683186978481,5.59340940682797
"IGKV3-11",12.6718317641761,9.23756047863855
"IMPDH1P10",12.6506313637465,4.67301426862893
"CEACAM6",12.64165513021,9.45878639438838
"FAR2P4",12.6333644175643,5.50334962253815
"SNORA8",12.6289441572925,9.66190439288219
"RP11-544M22.13",12.5848064622531,7.67072520530349
"SAA1",12.5647385469379,8.01981861111247
"DPYSL5",12.5394082481255,5.00890578774181
"IGHV1-18",12.5265513427465,6.39544643541372
"OLFM4",12.5230661851876,6.23431583060151
"CTC-432M15.3",12.5108582830693,1.98364281114365
"AMER2",12.5102226714287,4.98333090018934
"IGHV1-3",12.4826082800851,3.46580397637218
"PPP1R14C",12.4779853263086,7.34397150568274
"LUC7L2",12.4550317511733,7.89765570845582
"PCK1",12.4086482154444,7.15703989558187
"IGLV3-1",12.4066850667782,6.47960063606251
"SAA4",12.4056801667081,3.49022054709161
"AC107982.4",12.3918193450462,5.71640406434318
"RP11-554I8.2",12.3824425556762,3.04813101540563
"IGHV3-33",12.3775303532867,6.42495537452288
"APOA4",12.3643151229334,2.0368431248352
"SERPINA10",12.3504092198358,5.93581464524826
"SERPINA11",12.320034617289,4.04031325420436
"CTD-2207O23.3",12.3079822294056,3.38934810836427
"SERPINA6",12.2988947047291,3.84405116516902
"RP11-500M8.7",12.2964811673169,5.99288626407131
"SLC44A4",12.2938389044752,8.78334509100714
"TDRD1",12.2622162150153,6.62607656807261
"SBSN",12.2616683381221,4.68038178254056
"CHGB",12.2264014027175,4.48267994902642
"TLX1",12.2231213045192,4.18999197516596
"SLC6A15",12.2074956333902,5.02652697786028
"ACSM2A",12.1985548841679,4.08177565526884
"SLC2A2",12.1971218874285,4.14855109525004
"MMP7",12.1943366033916,8.45045482756739
"UGT1A6",12.1795060230697,4.07608795628061
"IGKV3-15",12.1750525171734,7.44513713792551
"IGKV1-5",12.1455236353511,7.9304858741307
"AC016735.2",12.1401922158528,5.19001284656479
"IGHV1-24",12.1200147883312,4.84941879404226
"TTR",12.1130195794608,3.47510795516663
"HSPE1-MOB4",12.0879487557787,5.89016280158742
"IGKC",12.0790172562313,12.1913246075195
"VTCN1",12.0521897201222,10.6112760550313
"OFCC1",12.0513562583016,3.67407903396171
"RP11-5P18.5",12.0350989108157,3.20614672145266
"HOXB13",12.0339764006573,5.41472947294909
"AC005152.3",12.0267368986501,2.88647446668011
"ACTL8",12.01042228752,3.83721931065908
"IGLC3",11.9858101764226,9.32399228039495
"RP11-468E2.1",11.9772084692973,2.79524280200789
"NR1H4",11.962948067256,3.584396853473
"IGKV1D-39",11.9473829489312,8.17319706279917
"HNF4A",11.9424915429381,4.44197159254757
"HDC",11.9418102900426,6.23463326281188
"CYP2C9",11.9357810875209,3.86368144165027
"IGLC2",11.9325174840491,10.3065556544955
"ZIC5",11.9287361568952,4.82679674194918
"CT83",11.9226379593705,2.6294039065445
"AMBP",11.9226048066344,5.83591445313309
"MAGEA12",11.9201081918857,3.22864736461044
"MAT1A",11.9052472559359,6.07909093082563
"MAGEA10",11.8771022193886,3.58777193469488
"OR4K12P",11.871905457606,3.6057915663086
"KLK11",11.8584748176316,5.31066112084887
"ADAM1A",11.8437268569569,3.8296235658333
"RP11-805J14.5",11.8432768893063,4.20969877125776
"AP000349.2",11.8344092558621,4.06849178596696
"SPHKAP",11.8191095995023,4.16432085327902
"IGKV2-28",11.814451276902,6.92208906772555
"IGLL5",11.8072358459759,7.66231043233828
"BLACAT1",11.806024620866,5.34942086692188
"CTAG2",11.7811238247296,2.09753376092464
"SLC1A6",11.7655975497333,4.40167420849109
"IGHG1",11.7606969916871,12.6942391301179
"PI3",11.7587752336905,4.22175816973796
"SLC15A1",11.7529367354238,6.78173040292191
"BMS1P7",11.7495487946713,5.16382389893117
"RPL36A-HNRNPH2",11.7478224242657,3.89067523509896
"DSCAM-AS1",11.7250183009477,4.07225352702004
"KLK10",11.7243603141556,5.85195336002182
"IGKV4-1",11.7068117510928,7.91751132637255
"CTAGE15",11.6937229571268,5.58464018086484
"BAAT",11.6606711229427,4.73865275072491
"RP11-1143G9.4",11.6538199183413,3.70039757592566
"IGHV4-39",11.6405646580897,6.93668161324505
"EEF1A2",11.6404459478732,9.31976390467797
"INO80B-WBP1",11.6336606987695,5.38092437105532
