interaction;name
RP11-707O23.5;RP11-259G18.3
FCRL2;TNFRSF13B
ATP8A2P1;TMEM161BP1
IGLC1;IGHV3-48
OR4K7P;SNX19P3
BLACAT1;LEMD1
NKX2-2;RP5-984P4.6
CYCSP6;RP11-601H16.1
TRIM29;KRT16
SLC35F3;RP4-799P18.2
CYP4F29P;SNX18P13
RP11-362F19.2;RP11-362F19.1
MBL2;PRODH2
SOX21;SOX21-AS1
AGXT;ALDOB
FAR2P1;KLF2P4
FOXR2;AC073869.8
KLF17;RP5-1198O20.4
IGFN1;XIRP2
RP11-757O6.1;ANKRD20A5P
AC133785.1;ARHGEF4
IRX2;C5orf38
RP11-349F21.3;RP11-349F21.2
UGT1A6;UGT1A4
SLC6A2;RP11-481F24.3
GS1-306C12.1;MC2R
DUXAP10;AP000525.10
TUSC5;ADIPOQ
CSAG3;MAGEA2B
RP11-349F21.5;RP11-349F21.2
RP11-132F7.2;TOX3
VSTM2A;VSTM2A-OT1
MESP2;MESP1
RP5-968D22.1;QRSL1P1
RP11-474J18.1;AC073869.8
RP11-654E17.2;PTCHD1
RP4-555D20.1;RP4-555D20.2
HOXA11-AS;HOXA11
GABRA1;RP11-71N10.1
AC093642.3;AC093642.1
MNX1;MNX1-AS1
MT-RNR2;MTRNR2L12
OBP2A;OBP2B
RP11-586K12.1;RP11-586K12.2
PSG6;PSG8
CPAMD8;AC060834.2
NETO1;RP11-713C5.1
RP11-20I20.1;AC092535.3
RP11-760D2.11;NEUROD1
FAM153A;FAM153B
HS6ST3;AMMECR1LP1
RP11-30H9.1;PDCL3P3
LINC00706;LINC00707
SNORA71B;SNORA57
SALRNA1;SIX6
RP11-1038A11.2;RP11-1038A11.1
FGG;UGT1A4
HSP90AB7P;NEUROD1
OR5P2;RP11-494M8.4
OR5P3;RP11-494M8.4
OR52E6;OR52E7P
HNRNPA1P22;RP11-141M3.6
DKFZp434J0226;AC006262.5
RP11-433A19.2;POTEI
SLC4A1;ALAS2
SNORA27;SNORA18
MTND5P7;MTND2P7
AC084082.3;CTD-2651B20.7
IGHGP;IGHG2
CTD-2001J20.1;LRRTM1
LINC00517;TTC6
AC002075.3;GNGT1
CYP4Z1;RP11-184J23.2
SNORA20;SNORA40
PABPC1P13;GOLGA8G
CTC-260E6.4;CTC-260E6.3
RP11-29P20.1;RP11-471M2.3
GAPDHP66;DLGAP1
FGB;UGT1A4
PCBP3;AJ011931.1
OR52E5;OR52E7P
APOA2;PRODH2
RP11-478J18.2;PROX1-AS1
UGT1A3;UGT1A4
JAKMIP1;C4orf50
GABRA6;NEUROD1
POTEF;POTEI
CLEC4F;CD207
SNORA74;SNORA57
FAM169B;RP11-372E1.4
RP11-161H23.9;PRPH
RP11-665E10.5;RP11-720D4.2
OR52E8;OR52E7P
MTND4P5;MTND2P7
MTND2P22;AC073869.8
PWAR6;PWAR1
ANKRD30B;ANKRD30BP1
AC105921.5;MTND2P23
CRP;UGT1A4
CYP4F2;CYP4A11
CYP21A1P;C4A
GZMK;TRBV28
RP11-15E1.5;FAM95B1
DAO;RP11-372E1.4
RP11-265N7.1;RP11-462P6.1
RP11-46E17.8;MTND2P7
SNORA20;SNORA27
CH507-513H4.5;CH507-513H4.4
NEFHP1;AC073869.8
OR5P4P;RP11-494M8.4
ANHX;RP11-593P24.2
CTA-125H2.2;CTA-796E4.5
F13B;HAO1
RP11-1C8.4;RIMS2
SERPINA7;CYP4A11
SNORA48;SNORA57
KRT17;KRT16
ANKRD20A1;FAM95B1
OR1S2;AC073869.8
MUC7;AC073869.8
KLF2P1;KLF2P4
C8orf34;RP11-664D7.4
ACTR3BP2;MTND2P7
SNX18P9;FAM95B1
RP11-384O8.1;AC010980.2
RP11-441F2.2;DKFZP434H168
AC073869.7;AC073869.8
CYP2C9;UGT1A4
RP11-557C9.1;RP11-88E18.1
EIF4BP4;AC073869.8
TNFRSF9;TIGIT
OR8X1P;PDCL3P3
RP11-805I24.1;MYADML
POTEE;POTEI
RP11-897M7.2;NEUROD1
SNORA7B;SNORA57
RP3-333B15.4;AC073869.8
XAGE1A;LINC00442
CTAGE13P;EIF4BP4
ITIH2;ALDOB
CYP2A6;C3P1
SNORA76A;SNORA57
BOD1L2;AC073869.8
TCEB3CL2;TCEB3CL
GABRG3;AC144833.1
LINGO2;RP11-438B23.2
ANGPTL4;ADM
OR52Q1P;OR52E7P
CYP4Z2P;RP11-184J23.2
AGR2;TFF1
RP11-437J2.3;LGI1
