interaction;name
IGLV2-11;IGHM
RP11-25H12.1;RP11-19C24.1
IGKV1-5;IGHM
OR8B9P;RP11-1217F2.9
IGKV1-17;IGHM
RP11-402K9.1;UBQLN1P1
RP11-499F3.2;CTD-2034I4.2
RP11-735A19.2;RP11-36D19.9
CRYBA2;POTEA
CAPZA3;ZNF705A
PLCH1;RP11-674E16.4
TAS2R2P;HSP90AB7P
RP11-8L2.1;KCNMB2-AS1
IGLV1-47;IGHM
RPS3AP54;RP11-472F14.4
GAPDHP26;RP11-466J24.1
CH17-360D5.2;ANXA8
POTEI;POTEF
RP11-344E13.4;CCDC144NL
SSX6;RP11-314N14.1
MCHR2;AC018890.4
CTD-2300H10.2;CTD-2336H13.1
IGHV1-18;IGHV2-70
SLC17A1;RP3-449H6.2
AZGP1P1;AZGP1
OR8B7P;RP11-1217F2.9
SFTPA1;SFTPA2
IGLC2;IGHM
AGR3;CYP2B7P
CTD-3145H4.1;HSP90AB7P
MMP20;RP11-817J15.3
FKBP4P6;RP11-466J24.1
NLRP14;IGHV1-18
OR5K3;HSP90AB7P
AHSG;CT45A5
ARHGAP42P3;AC006994.3
USP32P1;AC107982.4
RP11-826N14.2;NCLP2
RP11-533K11.1;MTND5P29
RP11-16O13.1;RP11-88E18.1
RP11-126O22.1;ERVMER61-1
ZNF536;XXyac-YX155B6.5
PGLYRP3;PGLYRP4
VN1R7P;HSP90AB7P
RP11-538C21.2;RP11-45K10.2
LINC01310;POTEA
RP11-1042B17.3;C14orf39
CLEC3A;RP11-358L22.2
RP11-2G1.2;AC018890.4
RBM46;HSP90AB7P
RP11-576D8.4;HSPD1P15
RP11-319E16.2;RP11-319E16.1
IGLV3-27;IGHM
RP11-367J7.3;PAX5
AQP2;AQP6
OR2G3;OR4K5
RPL5P19;CH17-38B12.4
RP11-29P20.1;SLITRK5
OR4H6P;OR4M2
OR3D1P;RP11-634B7.4
RP1-101G11.3;XXyac-YX155B6.5
HS6ST3;RN7SL164P
IRS4;RP6-24A23.8
IGLV1-44;IGHM
POTEJ;RP11-279F6.2
AC093822.1;BLACAT1
RP11-1059L18.1;RN7SL228P
IGHV4-31;IGHM
MYO3B;AC012594.1
IGKV1-9;IGHV3-72
RP11-115J16.2;RP11-115J16.1
RP11-374N7.2;RP11-244H18.1
OTX2;NCLP2
CTC-525D6.3;XXyac-YX155B6.5
LINC01007;CTAGE13P
UGT2B10;HSP90AB7P
RP11-555J4.4;HSPD1P15
RP11-375N15.1;RP11-115J16.1
RP11-511I11.1;KRT83
IGLL5;IGHV3-72
RP11-449L23.2;RP11-449L23.3
RP11-527H14.6;RP11-1157N2__B.2
GRAMD4P8;SERPINA9
RP11-4M23.2;PAX5
RP11-78H18.2;PRKRIRP8
IGHV2-5;IGHM
CYP1A1;AC092669.6
OTOG;RP6-24A23.7
IGJ;IGHV3-72
KLF2P4;POTEE
RP11-385H1.1;ZNF705G
DRD5P1;UBQLN1P1
SPAG6;ARPP21
OR4A21P;HSP90AB7P
RP11-73G16.1;PRKRIRP8
CTAGE10P;PRAMEF26
RP5-1077H22.2;HSP90AB7P
HBA1;HBA2
GABRR3;PRKRIRP8
RP11-138E16.1;BLACAT1
AC092638.1;XKR3
VENTXP1;OR4A21P
RP11-45K10.2;ZNF705A
SGOL1P1;RP11-36D19.9
RP11-744K17.1;RP11-744K17.2
FAM95C;FAM201A
PRR23B;HSP90AB7P
SPATA31A6;HSP90AB7P
MAGEA3;CH17-38B12.4
TRIM54;SLC17A3
RP5-963E22.5;XXyac-YX155B6.5
IGLV2-8;IGHV3-72
RP11-342F21.1;PRKRIRP8
RPL5P17;CTD-2331D11.3
