gene	Primary_1	Primary_3	Primary_4	Primary_5	Primary_6	Primary_7	Primary_8	Primary_9	Primary_10	Primary_11	Primary_12	Primary_14	Primary_17	Primary_18	Primary_20	Primary_21	Primary_22	Primary_23	Primary_26	Primary_27	Primary_28	Primary_30	Primary_32	Primary_33	Primary_34	Primary_35	Primary_37	Primary_39	Primary_41	Primary_42	Primary_43
MTRNR2L7	3.9966219199124	7.01176931501853	1.78199819990659	3.46930784364231	0	2.44360303863386	4.47867221415348	0	2.02748140632242	2.02407652522584	3.11166907270782	0	0	4.69777524546107	4.58427078205872	5.51885399190737	6.14490995086791	4.86903660015347	0	4.53360648639382	0	2.09354965100785	3.2863226444334	5.87030426248925	4.30500614147658	0	0	0	4.99739761755301	7.66855874729932	0
GABRA5	4.55113881215389	8.07302978411387	6.88353576954539	7.1503347558025	2.74282815198038	3.30450706344147	6.81763209143354	3.09170737979291	6.28397790801256	5.64607667942054	2.75122057914079	2.17668186804505	0	3.11728716670991	1.40164979922403	0	5.31313184933848	2.86231187572146	2.39876195970163	1.91459632442814	3.52685873765525	0	5.17092560901055	4.4957962442991	0	4.90109133084069	5.1430926611078	3.72810477021785	1.93090346251507	7.98033270701018	0
STMND1	0	8.10533024430995	4.66620079392367	4.56498851834546	3.39089980625637	3.59693108137382	7.50787899575789	5.46822473503606	4.03427073552875	3.35077208174913	3.11166907270782	5.92740134783868	6.16278377966951	4.4668393306812	5.69774873422136	9.56529714230127	6.96603576949961	7.11872858027111	10.6756185763175	5.95284399625719	7.31192664787766	10.1190830181101	9.16624486217734	7.07853506168982	6.19743407961744	8.35888260292482	2.40383469288364	3.19657482622099	5.3356069499381	7.43278832088475	6.52863297760783
CYLC1	3.45615602121866	7.57003740378678	4.52049735974982	2.59401828389831	0	4.39093855748628	5.76124335719529	0	4.84259450595924	0	3.39982370224742	2.65115224119369	0	0	0	0	6.43070490822371	5.01609439436462	1.64927153337381	0	0	3.43348116643645	0	0	3.55137577716273	0	1.65353686437157	0	0	5.8128777243506	4.26789722580232
RPL5P32	3.45615602121866	5.63750688917639	4.79852951111879	6.66896449548567	0	2.44360303863386	0	1.52670019170299	0	1.34122135232853	3.3998239634553	7.36397983917507	5.78556935294615	4.33584521984311	0	0	4.81402743067909	3.37957870092353	0	0	0	2.09354965100785	0	0	0	0	2.89493783340737	1.60499587839962	4.7178930525805	5.64615735507103	0
RP11-727A23.1	4.2909639525958	0	0	4.72657511484325	4.39014421611168	4.69378531556752	0	5.59683025971273	5.70493240729973	4.90289875784306	4.80648222440135	5.57661412070395	5.06356026327246	4.26678998217424	5.00655831081376	0	0	5.77736918558514	5.38408819212949	0	2.64747131541325	6.13733391616656	1.37504102936545	0	0	0	6.28338657390272	3.85703774434676	4.44014644309005	4.11130275480301	0
CTD-2144E22.9	3.45615602121866	8.16784305705192	1.78199819990659	2.59401828389831	4.01645176004202	2.44360303863386	8.00306492498716	2.25172556131795	5.3575528709386	3.35077208174913	1.54149256895407	3.00759925434649	0	0	0	1.56071776797159	5.00024733832916	4.52050325216447	0	0	3.00315956558502	2.09354965100785	1.6731292497569	0	0	0	2.40383469288364	0	1.93090346251507	7.7530423875262	4.51839561506473
RP11-639F1.3	0	7.14204139250095	6.65820988021668	5.45355489192325	3.10295202694408	6.29828736054907	5.76124335719529	5.04358211305505	6.33985087972234	3.55281976125914	4.46077569625701	3.29319580040183	4.31023183443217	5.43384428769896	2.9199390844363	4.35755605330731	6.66913779176226	4.30854947459644	1.64927153337381	5.50211828254391	0	2.09354965100785	1.6731292497569	0	0	0	4.18335290931315	3.19657482622099	0	6.63167922556494	0
RP11-205M5.3	5.23556534755739	7.44751835595001	9.32247068557427	11.1324486952363	9.43683278733733	6.72314337060476	8.66114376099615	8.71573111209908	10.7274030092961	6.84069083567754	10.4546557895929	0	9.51212672968729	9.73965812853955	7.51078464514273	8.96961266063646	9.3093623045745	9.40350504929071	14.0198438840102	9.57646079222243	10.8794883203722	10.0087193420499	10.9900449703263	10.347136798538	10.1262234719539	10.4321474645924	7.1336337241092	7.38906245058783	10.5173410648319	9.22674757148909	6.11236483501995
CDH9	0	7.86237239429419	1.78199819990659	3.46930817189577	0	3.30450706344147	6.94776404145579	1.52670019170299	4.03427073552875	2.02407652522584	3.3998239634553	0	0	1.54566526705939	0	2.77610762281764	5.68324493097757	5.01609579252023	0	2.70932729934453	3.00315956558502	4.11601904074975	1.6731292497569	0	0	0	4.74160052146723	1.60499587839962	0	7.98033200603977	3.9645712499032
LINC00967	4.55113881215389	7.2615176819952	2.55533598845618	3.76494598332799	0	4.39093855748628	5.89632803869872	1.52670019170299	6.44549330527832	3.35077208174913	3.3998239634553	1.46496231578308	2.51339668335304	0	0	1.56071776797159	5.16515512688753	5.48872533962882	0	0	0	4.11601904074975	3.57836852340975	0	0	0	0	0	1.93090346251507	6.71828681641918	0
RP11-20F18.1	3.9966219199124	6.79123893839874	3.42708137277566	2.59401828389831	0	2.44360303863386	6.74788211061295	0	5.12292838405052	3.55281976125914	8.50052525718728	1.46496231578308	3.38118028286028	2.75663045687807	1.40164979922403	0	3.12950915675467	3.75953867255908	0	1.91459632442814	0	0	0	0	0	0	1.65353686437157	3.72810477021785	1.93090346251507	6.53953944436651	0
TGM5	5.26327668724791	7.82406205553044	4.91973499309214	4.84337047585739	3.10295202694408	5.57349475541537	6.67459085320598	3.09170706147086	9.50000128626172	7.32643291542906	11.0144757229395	3.00759925434649	7.91403255719958	7.63442496308326	3.82133094555046	2.77610762281764	4.81402743067909	4.30855176145603	2.88952346358851	4.34983298912726	3.52685873765525	2.91378704333187	2.91975324488991	0	6.19743407961744	4.34006930649686	4.8529234920882	6.29635054156001	3.91309957940489	4.98526852303038	0
LUZP4	0	7.3177401072596	0	1.81512049711824	0	2.44360303863386	6.23905034476757	1.52670019170299	5.89388575871664	1.34122135232853	5.81807586711978	1.46496231578308	5.08607863626991	2.75663045687807	0	2.29278513661294	3.65844657774963	5.01609439436462	4.17744083410389	2.70932729934453	0	0	1.6731292497569	0	0	0	5.30847425047564	1.60499587839962	1.93090346251507	7.32651220376104	0
AC008069.2	0	5.95362530156568	0	0	0	2.93734054357715	6.33731212304789	0	0	0	2.26960476216933	0	0	3.11728716670991	0	3.87283272521744	4.34897094061558	2.04820073663749	7.49575255193609	0	0	5.82159467951214	4.02886872606573	0	1.88008406188698	3.79029095020556	0	0	1.93090346251507	5.8128777243506	0
HIST1H2BA	0	4.26997864737521	0	0	0	2.93734054357715	4.08504449137865	0	2.02748140632242	0	0	10.7535103954987	0	0	0	0	4.81402743067909	2.04820073663749	0	3.21881980034657	0	0	3.82113195902096	0	0	0	0	0	0	4.27834968662384	0
RP11-400K9.2	3.75155117574225	7.63494486218787	3.7219312833652	3.46930784364231	4.97117566188629	4.85220985329537	6.59736972502354	5.69471414157734	6.2258571525914	2.15259916982055	4.33082308806006	3.00759925434649	4.87074772819305	2.27464131282766	5.78626095694352	11.5423348631062	6.82521180553524	7.98969362970867	6.36100648406952	7.38743262131303	5.92241400282978	7.24433521500208	7.7530401237409	3.94245699719582	0	0	4.8529234920882	4.88690533579289	4.55480445708346	6.72822936782606	8.26607824200621
