"","logFC","AveExpr","t","P.Value","adj.P.Val"
"RP11-961A15.1",-4.21288918658054,2.09561767833531,-6.55461393328149,9.81619637445077e-10,3.90434748886336e-07
"RP6-99M1.3",-4.48725535656129,4.2002519188941,-6.53520847033022,1.07723739830549e-09,4.24606222078035e-07
"RP11-135L13.4",-5.77834132664217,5.29846205451943,-6.53255350121874,1.09101513242832e-09,4.2619726851789e-07
"UBE2CP3",-3.95581409697717,4.4009477493775,-6.52336722528626,1.14004268083483e-09,4.41408383821996e-07
"ETV5-AS1",-3.99340582342323,3.43897861264234,-6.50011004829177,1.27410543358115e-09,4.88988253772303e-07
"RP11-131L23.2",-4.01942730733309,3.0072724356066,-6.49532767298123,1.30354375103918e-09,4.95936053873619e-07
"RP11-138H8.2",-3.6696361089797,3.80329745082096,-6.44889147639829,1.62666635460416e-09,6.13533675402078e-07
"RP11-452I5.2",4.05468881399606,7.02196128385811,6.44670379704992,1.64369986823548e-09,6.14659458419136e-07
"PTTG4P",-3.50218000574934,4.25769736325983,-6.43664391049333,1.72432064560095e-09,6.39343024460447e-07
"RP11-805J14.5",-5.3156959943229,4.20969877125776,-6.43447010735682,1.74224783119164e-09,6.40561572355435e-07
"VCAN-AS1",-4.09489678420888,2.19056540691067,-6.42949680828343,1.78395690393751e-09,6.45416094880558e-07
"CTB-174D11.3",-4.24439890062398,4.19815528584885,-6.42937921821671,1.78495491590207e-09,6.45416094880558e-07
"RP11-253I19.4",-3.71965075003133,3.54859313552623,-6.42149672504234,1.85312679843162e-09,6.6457380069656e-07
"FOXN3-AS2",-3.79973034938965,5.65440745539621,-6.40880375167282,1.96833941770257e-09,7.00152733360347e-07
"RP1-79C4.4",-4.83821228252905,6.88059368760404,-6.40515804778302,2.00271819794502e-09,7.06636504810409e-07
"RP11-415F23.2",-3.2987735539859,5.84923489296865,-6.39641424522111,2.08760465752452e-09,7.30695031808103e-07
"RP11-328C8.5",-3.93500157886821,2.79671458952783,-6.37799613505431,2.27819427275265e-09,7.91075839852967e-07
"RNU1-43P",-3.71228474356904,1.65715603992631,-6.3662388654982,2.40872963427322e-09,8.29816842194661e-07
"RP11-611O2.5",-5.60975773463473,6.25385341340802,-6.35673655264136,2.51959701042131e-09,8.61229753124635e-07
"RP11-131L23.1",-3.37923668898236,7.0891998926196,-6.34175509376723,2.70469562765545e-09,9.10275716162933e-07
"MRPS10P2",-3.81060264624265,3.01129931070839,-6.34227847468087,2.69800868040474e-09,9.10275716162933e-07
"RP11-1029M24.4",-3.55070774554194,2.48502493020663,-6.33103594818952,2.84530020414137e-09,9.50286828485444e-07
