"gene","variance","mean_expr"
"SNORA67",19.8533544287698,7.32803283972833
"ITIH1",19.8024589742266,4.69899511465501
"FGL1",19.7716402884943,5.84983874357875
"AHSG",19.743274313456,4.28520651630287
"MAGEA3",19.7002692176589,3.98800969908009
"IGFBP1",19.6943600236695,5.1977311908632
"C9",19.5001689032655,4.21679106358883
"MAGEA6",19.4927381557731,3.96796629364297
"SLC2A3P1",19.4440930637654,6.19770928920914
"VGLL1",19.3954538409515,5.46529117842644
"ORM2",19.357446134548,5.92773769414022
"POTEC",19.3514901750531,5.64747750294802
"C8B",19.1378743016717,3.65995137239596
"LBP",19.1200104237651,7.70188477018931
"UGT2B4",19.0583471352422,4.48619022322896
"F2",18.9965541559894,4.55682729045308
"CASP14",18.9261292556905,6.53339516339658
"G6PC",18.87705956942,4.0466610066567
"SERPINB5",18.8627222644815,6.60099295720216
"ANKRD30B",18.546258225946,7.09582340799631
"UGT2B15",18.4396099434576,5.38051795642007
"VN1R53P",18.3500648961817,4.92314955091412
"DSG3",18.3268438307984,4.79931236012242
"ALDOB",18.3179981130529,6.40637544681717
"ATP8A2P1",18.3120082282683,3.63062167698529
"TFAP2B",18.1802496127872,6.95024002861923
"NLRP2",18.1048169734587,8.99134971826174
"SCGB1D2",17.8786300408764,5.73036622760766
"C8A",17.8585775493251,3.41474318263784
"POTEF",17.6578012700008,7.9222361751108
"RP11-407N17.3",17.6475978862727,3.74701089064119
"RP11-205M5.3",17.6101181938975,3.48762261375814
"AGXT",17.6003773457712,4.85258246962545
"FABP7",17.594289060529,4.08703705652544
"HP",17.5934699165965,9.17572832054727
"ANKRD36BP1",17.4704406181378,6.01016122698705
"GSTM1",17.4194428984754,4.31974436269729
"C4BPA",17.4166009375472,6.46905318768876
"HRG",17.411438541896,4.4119200603151
"KLK7",17.3927775537551,5.36399951908054
"MSLN",17.3744729327035,6.83907928428891
"AC009133.15",17.3149001764459,5.61871143302285
"S100A7",17.1858306721898,4.56019883256554
"SULT2A1",17.0573763685578,3.40001153870298
"KRT23",17.0561377468794,9.39459270565233
"AGR3",16.9828903334507,7.14063760425262
"KLK8",16.9711369419155,4.64564871253782
"NCCRP1",16.9450511445308,7.11614909760876
"SFRP2",16.9314832277844,8.08074015898232
"TRIM29",16.9095375858628,8.85106587098287
"CYP4Z2P",16.9018062703205,5.14789902071623
"F9",16.8331544047377,3.68337812690162
"COL2A1",16.8251361649817,6.1927052063494
"OBP2B",16.8095486738144,4.63175470138718
"ELF5",16.7988202595179,8.25111280606669
"CRISP3",16.7565455741097,6.36483769087762
"RP11-19E11.1",16.6757682400747,4.5423552820273
"SNORA16A",16.674701207576,9.03926058060073
"SLC34A2",16.6671423071627,8.34768556121089
"SLC6A14",16.6629242842396,6.48971648036012
"MUC15",16.5888269677407,6.9287672811821
"PROM1",16.5867215199642,9.73463570001556
"RP11-334J6.7",16.5139679699279,2.82213482477496
"TFF3",16.5082084853646,8.4107999393172
"MUC16",16.4941064055987,10.8969527647286
"MIR205HG",16.3595126228196,7.48652237828363
"SAA1",16.3230503074449,8.16810514025486
"KIF1A",16.3050875075803,8.85700579434617
"LINC00707",16.237932522323,4.60881839282958
"GRIA2",16.2091429768382,6.23982696530392
"RP11-442H21.2",16.203147884995,2.83192066612591
"C1orf64",16.1935551569824,5.5941888411763
"HABP2",16.1160555520894,4.97684331617984
"FABP1",16.1133141459075,3.59282567983574
"RN7SL314P",16.1117477003404,3.72416467875655
"SCEL",16.1058970128409,5.47552082275117
"LINC01087",16.0957637360547,6.73866749576904
"RP4-533D7.6",16.0562332434919,3.37364670102239
"PCK1",16.0128764829639,7.27421370887699
"BRINP3",16.010988022965,5.05429505064478
"AQP5",15.9510587407129,6.15321630928806
"CREB3L3",15.8450072588946,3.67879666017408
"NKX1-2",15.8414098460931,5.18065038270004
"KCNJ3",15.7401512289984,5.41354952088565
"SNORA8",15.6987741269762,9.44691623329269
"SLC2A2",15.6476566897339,3.91494808074974
"UGT1A1",15.5883483071838,3.62034379214903
"ROPN1",15.563662883887,4.15748932410898
"SNORA10",15.5335777448747,8.45777151610844
"RP11-20F24.2",15.4950524365114,3.15656600297248
"CTC-432M15.3",15.4221853468712,2.80354850641635
"APOA4",15.4161161693908,2.5563783733785
"MAT1A",15.3475948429272,6.26168834319169
"PVALB",15.3339209477202,4.38574231550495
