GEN1,GEN2
LARP1BP1,RP11-760D2.11
LARP1BP1,NOL8P1
LARP1BP1,MUC17
LARP1BP1,AC008132.15
LARP1BP1,RP4-668E10.4
LARP1BP1,GS1-519E5.1
LARP1BP1,MTND5P30
LARP1BP1,LINC01007
LARP1BP1,MTND2P6
LARP1BP1,OR11A1
LARP1BP1,RP11-113D6.10
LARP1BP1,HHLA1
LARP1BP1,CTD-2207A17.1
LARP1BP1,AC005235.1
LARP1BP1,KLK15
LARP1BP1,MTND4P4
LARP1BP1,CTA-342B11.3
LARP1BP1,RP11-340L3.1
LARP1BP1,MTND5P17
LARP1BP1,CTD-3145H4.1
LARP1BP1,MTND4P8
LARP1BP1,RP11-45K10.2
LARP1BP1,LINC01460
LARP1BP1,AC006548.28
LARP1BP1,RGPD4-AS1
LARP1BP1,RP11-966I7.2
LARP1BP1,LINC00836
LARP1BP1,MIR7515HG
LARP1BP1,MTND1P15
LARP1BP1,NEFHP1
LARP1BP1,MTND5P13
LARP1BP1,AC105342.1
LARP1BP1,LINC00841
LARP1BP1,C1orf141
LARP1BP1,MAPK6PS2
LARP1BP1,RP11-597A11.4
LARP1BP1,MTND5P3
LARP1BP1,CTD-3046C4.1
LARP1BP1,BPESC1
LARP1BP1,MTND5P6
LARP1BP1,RP11-267C16.1
LARP1BP1,TMPRSS11BNL
LARP1BP1,RP11-861E23.2
LARP1BP1,RP4-815D20.1
LARP1BP1,RP11-91I20.3
LARP1BP1,RP11-475D12.2
LARP1BP1,RP11-677O4.2
LARP1BP1,RP11-566K19.12
LARP1BP1,RP11-989E6.8
LARP1BP1,MTND4P5
LARP1BP1,RP5-865N13.1
LARP1BP1,LINC01247
LARP1BP1,LINC00608
LARP1BP1,LINC00838
LARP1BP1,EIF4BP4
LARP1BP1,RP11-144L1.4
LARP1BP1,TMCC1P1
LARP1BP1,SLC4A1APP2
LARP1BP1,RP11-46E17.8
LARP1BP1,MTND1P7
LARP1BP1,THRAP3P1
LARP1BP1,CTD-2144E22.9
LARP1BP1,TPD52L3
LARP1BP1,RP11-577N1.2
LARP1BP1,AC114776.3
LARP1BP1,SLC39A12-AS1
LARP1BP1,NEUROD6
LARP1BP1,RP11-2A4.4
LARP1BP1,OR10R3P
LARP1BP1,C10orf53
LARP1BP1,GABRR3
LARP1BP1,NEUROD1
LARP1BP1,KB-1568E2.1
LARP1BP1,SPATA31D2P
LARP1BP1,MTND2P20
LARP1BP1,PABPC1P6
LARP1BP1,RP5-991O23.1
LARP1BP1,KIF2B
LARP1BP1,CTD-2313J23.1
LARP1BP1,RP11-344P13.3
LARP1BP1,RP11-63H19.2
LARP1BP1,MIR124-2HG
LARP1BP1,RP11-989E6.10
LARP1BP1,MTND4P10
LARP1BP1,MUC12
LARP1BP1,SPATA31D5P
LARP1BP1,MTND2P7
LARP1BP1,RP11-25D10.2
LARP1BP1,RP5-998H6.2
LARP1BP1,RP11-946L20.1
LARP1BP1,LINC01299
LARP1BP1,PPP1R3A
LARP1BP1,RP11-1217F2.7
LARP1BP1,RP3-416J7.5
LARP1BP1,RP1-101G11.3
SNORA57,SNORA43
SNORA57,SNORA46
SNORA57,SNORA45A
SNORA57,SNORA38B
SNORA57,SNORA31
SNORA57,SNORA18
SNORA57,SNORA7B
SNORA57,SNORD10
SNORA57,SNORA71B
SNORA57,SNORA76A
SNORA57,SNORD3C
SNORA57,SNORA52
SNORA57,SNORD3A
SNORA57,SNORA6
SNORA57,SNORA64
SNORA57,SNORD22
SNORA57,SNORA26
SNORA57,SNORA21
SNORA57,SNORA68
SNORA57,SNORA71D
SNORA57,SNORA16A
SNORA57,SNORA7A
SNORA57,SNORD15A
SNORA57,SNORA48
SNORA57,SNORA10
SNORA57,SNORA24
SNORA57,SNORD94
SNORA57,SNORA9
SNORA57,SNORA74
SNORA43,SNORA45A
SNORA43,SNORA18
SNORA43,SNORA27
SNORA43,SNORA38
SNORA43,SNORA76A
MTND4P10,RP5-998H6.2
MTND4P10,AC068137.5
MTND4P10,RP5-856G1.2
MTND4P10,KB-1592A4.14
MTND4P10,CACNG3
MTND4P10,GABRA4
MTND4P10,PRNT
MTND4P10,RP11-67H2.1
MTND4P10,LRRC74B
MTND4P10,CDH9
MTND4P10,RP3-416J7.5
MTND4P10,MAN1A2P1
MTND4P10,RP11-624J12.1
MTND4P10,GOLGA6L2
MTND4P10,RP11-327I22.5
MTND4P10,RP11-627H22.5
MTND4P10,NOL8P1
MTND4P10,HSP90AB7P
MTND4P10,RP11-626I20.3
MTND4P10,MUC17
MTND4P10,RP4-668E10.4
MTND4P10,GS1-519E5.1
MTND4P10,OR6P1
MTND4P10,ACTR3BP2
