"gene","logFC","AveExpr","t","P.Value","adj.P.Val","is_DEG","is_Hub","Priority_Score"
"GABRP",-3.15857794255831,9.33790073910506,-2.39164855065615,0.00925597589219499,0.0517388610041257,FALSE,FALSE,"BAJA"
"KRT23",-0.463813340053468,9.53023622963022,0,0.784235517558372,1,FALSE,FALSE,"BAJA"
"KRT15",-0.757027479800493,10.6472390776429,0,0.654239125571657,1,FALSE,FALSE,"BAJA"
"KRT86",0.944152749365553,5.95195476769189,0,0.542400046097058,1,FALSE,FALSE,"BAJA"
"KLRG2",0.233451938744322,7.52309791628761,0,0.915292984183005,1,FALSE,FALSE,"BAJA"
"PADI2",-0.30151282643002,11.6479475393961,0,0.927138259267461,1,FALSE,FALSE,"BAJA"
"KRT7",0.881975648317965,12.3679485787291,0,0.575248039314601,1,FALSE,FALSE,"BAJA"
"RP3-416H24.1",-2.97358524198988,8.53227515140573,-3.68798391648418,0.00017778568026792,0.00153482223423094,TRUE,FALSE,"MEDIA (Solo DEG)"
"TRPV6",-1.4617497761479,9.21557397140367,-0.760884475508377,0.224238851462518,0.739741185386738,FALSE,FALSE,"BAJA"
"SERPINB5",-2.56826589340812,7.35208958640642,-1.90591811634363,0.0296753295900961,0.141125545676727,FALSE,FALSE,"BAJA"
"SLC6A2",-0.402167980503375,4.78682195744467,0,0.837843049539692,1,FALSE,FALSE,"BAJA"
"ULBP3",1.50134596570205,4.60883277111895,1.09131766693604,0.138780481938542,0.509560561075451,FALSE,FALSE,"BAJA"
"S100A4",0.598085665680212,10.0248931229155,0,0.835490988238355,1,FALSE,FALSE,"BAJA"
